annual_sales_quant,avg_sales_price,category,color,condition,description,highest_bid,lowest_ask,product_title,release_date,retail_price,style,ticker,year_high,year_low,,
,,streetwear,,New,,65,250,BAPE ABC Camo Japanese Socks Green,9/30/19 0:00,75,, B-ABCJSGRN,,,,
128,59,streetwear,,New,"Released as a part of Supreme's Fall/ Winter 2019 Week 1 drop, the Supreme Banner tee sold out in a near instant. The tees dropped in nine different colorways and all feature the same graphic image, a landscape photograph of Supreme's original store banner. The Supreme Banner Tee released on August 22nd, 2019 and retailed for $38 USD.",56,55,Supreme Banner Tee Magenta,8/22/19 0:00,38,, SUP-BATMGTA,100,40,,
128,58,streetwear,,New,"Released as a part of Supreme's Fall/Winter 2019 Week 1 drop, the Supreme Faces L/S Tee was one of the most eye-catching tees of the season. The tee dropped in eight different colorways and features multiple faces all over the front with their eyes cut out. The Supreme Faces L/S Tee released on August 22nd, 2019 and retailed for $40 USD.",61,62,Supreme Faces L/S Tee Black,8/22/19 0:00,40,, SUP-FALTBK,99,49,,
385,29,streetwear,,New,,24,26,Supreme Hanes Socks (4 Pack) Red,8/22/19 0:00,20,, SUP-HASPRD,40,20,,
428,230,streetwear,,New,"Supreme's first major brand collaboration of FW19 came in Week 5 as the brand came together with former collaborator, Lacoste. The collaboration yielded a full range of apparel including hoodies, jackets, half zip pullovers, pants, hats, bags, and even a cardigan. The Logo Panel Hooded Sweatshirt dropped in five colorways and features collaborative dual branding with the Lacoste Croc logo on the chest and the word ""Lacoste"" across the chest in large block lettering and the word Supreme laid over it. The Supreme LACOSTE Logo Panel Hooded Sweatshirt released on September 26th, 2019, and retailed for $158 USD.",245,205,Supreme LACOSTE Logo Panel Hooded Sweatshirt Navy,9/26/19 0:00,158,, SUP-LALPHSNV,375,200,,
466,76,streetwear,,New,,50,45,Virgil Abloh MCA Figures of Speech Lines Tee White,,67,, VA-MCFOSLTWH,130,43,,
77,146,streetwear,,New,,120,119,Virgil Abloh x MCA Hyperbole Hoodie Black,9/17/19 0:00,98,, VA-XMHHBK,350,95,,
1,70,streetwear,,New,,50,85,FEAR OF GOD ESSENTIALS Sweat Shorts Black Ink,9/6/19 0:00,70,, FOG-ESSSBIK,70,70,,
,,streetwear,,New,,50,5000,Kanye West Jesus Is King Painting (Yeezy Promo) T Shirt Navy,9/28/19 0:00,50,, KW-JEIKPPNV,,,,
7140,32,streetwear,,New,,25,25,KAWS x Uniqlo Flayed Tee (US Sizing) White,6/3/19 0:00,15,, K-XUFTWH,115,20,,
,,streetwear,,New,,,209,Palace Flaming P American Football Jersey Blue,10/4/19 0:00,158,, PAL-FLPAFJBL,,,,
,,streetwear,,New,,,250,BAPE ABC Camo Assortment Case (M) Black,9/30/19 0:00,,, BA-ABCCASCSMBK,,,,
14,72,streetwear,,New,,35,82,Supreme Waffle Cord Classic Logo 6-Panel Black,10/12/17 0:00,48,, SP-WCCL6PBK,85,40,,
,,streetwear,,New,,90,168,Supreme Script Canvas Snap Shirt Blue,10/3/19 0:00,138,, SUP-SCCSSBL,,,,
,,streetwear,,New,,,300,BAPE Sakura Ape Head Tee Purple,9/30/19 0:00,99,, B-SAAHTPP,,,,
18,55,streetwear,,New,,50,57,Supreme Mercenary Tee Black,10/10/19 0:00,38,, SUP-METBK,69,42,,
250,186,streetwear,,New,"Supreme's FW19 Season was jam packed with eye-catching accessories and Week 3's addition to the accessory lineup is no joke as Supreme released their Table Tennis Racket Set with Butterfly. The set features a shakehand table tennis racket, a 3-pack of Butterfly A40+ Balls, and both a racket and ball case. The Supreme Butterfly Table Tennis Racket Set released on September 12th, 2019 and retailed for $198 USD.",151,163,Supreme Butterfly Table Tennis Racket Set Checkerboard,9/12/19 0:00,198,, SUP-BUTTRSCKBD,239,150,,
406,58,streetwear,,New,"Released as a part of Supreme's Fall/Winter 2019 Week 1 drop, the Supreme Heaven and Earth tee was an instant hit. This tee dropped in seven different colorways and feature graphic imagery of a landscape photograph of an adult leading a child into a field before mountains and the sky with the words ""heaven and earth"" above it and the word ""Supreme"" underneath it. The Supreme Heaven and Earth Tees released on August 22nd, 2019 and retailed for $38 USD.",51,50,Supreme Heaven And Earth Tee Black,8/22/19 0:00,38,, SUP-HEAETBK,115,45,,
476,126,streetwear,,New,,150,112,FEAR OF GOD Essentials Logo Pullover Hoodie Black,,90,, FOG-ESLPHBK,250,82,,
821,242,streetwear,,New,"Over the summer, Travis Scott released his hit album, Astroworld, along with a week’s worth of limited edition album merch. Releasing new items available for only 24 hours at a time, Travis revamped the artist merch game. This hoodie, featuring an embroidered “ASTROWORLD” on the front and “WISH YOU WERE HERE” printed on the back, was one of the most popular items from the drop cycle. The hoodie retailed for $95 and was released in August. Secure your hoodie by placing a bid today.",240,300,Travis Scott Astroworld Logo Hoodie Black,,85,, TS-AWYWHHBK,523,140,,
1533,84,streetwear,,New,"Released as a part of Supreme's Fall/ Winter 2019 Week 1 drop, the Supreme Banner tee sold out in a near instant. The tees dropped in nine different colorways and all feature the same graphic image, a landscape photograph of Supreme's original store banner. The Supreme Banner Tee released on August 22nd, 2019 and retailed for $38 USD.",91,80,Supreme Banner Tee Black,8/22/19 0:00,38,, SUP-BATBK,150,67,,
37,195,streetwear,,New,,171,175,Supreme Cop Car Hooded Sweatshirt Dark Magenta,9/26/19 0:00,158,, SUP-COCHHSDMT,300,131,,
1451,140,streetwear,,New,"As a part of their 2019 Summer tees release, Supreme also added a new Photo Tee to their running catalog. 2019's photo tee addition features Jamaican Dancehall and Reggae Musician, Buju Banton, who is pictured wearing the iconic red box logo tee as is tradition in Supreme's past Photo Tees. The back of the tee features a note from Buju, “Supreme forward ever stand firm jah love”. The Supreme Buju Banton Photo Tee dropped on Thursday, June 27th, 2019 and retailed for $48 USD.",91,87,Supreme Buju Banton Tee White,6/27/19 0:00,48,, SUP-BUBTWH,255,74,,
1,150,collectibles,,New,,100,,Bearbrick Godzilla 400% Green,,61,, BB-GO4GN,150,150,,
248,73,streetwear,,New,"Released as a part of Supreme's Fall/ Winter 2019 Week 1 drop, the Supreme Banner tee sold out in a near instant. The tees dropped in nine different colorways and all feature the same graphic image, a landscape photograph of Supreme's original store banner. The Supreme Banner Tee released on August 22nd, 2019 and retailed for $38 USD.",75,69,Supreme Banner Tee Natural,8/22/19 0:00,38,, SUP-BATNTL,117,59,,
1,125,collectibles,,New,,,150,"All Gone 2017 ""Cuban Linx"" Book Black",,100,, AG-20LBBK,125,125,,
834,69,streetwear,,New,"Jerry Lorenzo's Fear of God line has been dominating the sneaker and streetwear scene lately, with drops selling out almost instantly whenever the LA-based designer comes out with new product. His recent Fear of God Essentials drop was no different. The collection released on July 19th, 2019 and featured a wide variety of gear including tees, shorts, pants, hoodies, bags, and more. This FEAR OF GOD ESSENTIALS 3M Logo Boxy T-shirt in Black released as a part of this Essentials drop, and retailed for $40. Bid today to secure yours. ",63,54,FEAR OF GOD ESSENTIALS 3M Logo Boxy T-shirt Black,7/19/19 0:00,40,, FOG-ES3LBTBK,160,45,,
97,70,streetwear,,New,,48,48,Virgil Abloh x MCA FOS Million Things Tee Black,9/9/19 0:00,65,, VA-XMFMTTBK,194,44,,
155,212,streetwear,,New,"Supreme's first major brand collaboration of FW19 came in Week 5 as the brand came together with former collaborator, Lacoste. The collaboration yielded a full range of apparel including hoodies, jackets, half zip pullovers, pants, hats, bags, and even a cardigan. The Logo Panel Hooded Sweatshirt dropped in five colorways and features collaborative dual branding with the Lacoste Croc logo on the chest and the word ""Lacoste"" across the chest in large block lettering and the word Supreme laid over it. The Supreme LACOSTE Logo Panel Hooded Sweatshirt released on September 26th, 2019, and retailed for $158 USD.",230,199,Supreme LACOSTE Logo Panel Hooded Sweatshirt Gold,9/26/19 0:00,158,, SUP-LALPHSGLD,300,180,,
865,72,streetwear,,New,,90,69,Travis Scott No Bystanders Tee Black Tie Dye,,45,, TS-NOBTBKTD,299,46,,
2139,163,streetwear,,New,"As a part of their 2019 Summer tees release, Supreme also added a new Photo Tee to their running catalog. 2019's photo tee addition features Jamaican Dancehall and Reggae Musician, Buju Banton, who is pictured wearing the iconic red box logo tee as is tradition in Supreme's past Photo Tees. The back of the tee features a note from Buju, “Supreme forward ever stand firm jah love”. The Supreme Buju Banton Photo Tee dropped on Thursday, June 27th, 2019 and retailed for $48 USD.",140,110,Supreme Buju Banton Tee Black,6/27/19 0:00,48,, SUP-BUBTBK,245,106,,
1956,113,streetwear,,New,"Kanye West is back with yet another iteration of his popular Calabasas line. Get cozy with this grey on grey pair of Calabasas track pants featuring the iconic Calabasas logo along with the Calabasas font down the side. This particular pair of pants dropped on October 13th, 2018 for a retail price of $120. If you're looking for cozy with a side of style, these pants are for you. Place a bid today to secure your pair. ",138,134,adidas Yeezy Calabasas Track Pants Ink/Wolves,10/13/18 0:00,120,, AD-YCTPGGY,250,70,,
753,78,streetwear,,New,"Released as a part of Supreme's Fall/ Winter 2019 Week 1 drop, the Supreme Banner tee sold out in a near instant. The tees dropped in nine different colorways and all feature the same graphic image, a landscape photograph of Supreme's original store banner. The Supreme Banner Tee released on August 22nd, 2019 and retailed for $38 USD.",106,71,Supreme Banner Tee White,8/22/19 0:00,38,, SUP-BATWH,150,60,,
4,1957,streetwear,,New,,2000,3500,Kith Moncler Rochebrune Classic Down Jacket Navy/Red/White,12/9/17 0:00,1173,, KH-MRCDJNRDWT,2000,1850,,
1167,83,streetwear,,New,"Released as a part of Supreme's Fall/ Winter 2019 Week 1 drop, the Supreme Smoke Tee was rallied around as one of the most anticipated pieces of the entire drop. The tee dropped in seven different colorways and all feature the word Supreme written out in smoke. The Supreme Smoke Tee released on August 22nd, 2019 and retailed for $38 USD.",101,73,Supreme Smoke Tee Black,8/22/19 0:00,38,, SUP-SMTBK,175,69,,
194,193,streetwear,,New,,200,180,Supreme Cop Car Hooded Sweatshirt Black,9/26/19 0:00,158,, SUP-COCHHSBK,274,155,,
3385,48,streetwear,,New,,45,44,Supreme Hanes Boxer (4 Pack) Briefs White,8/24/17 0:00,36,, SP-HBBWT,85,25,,
70,295,streetwear,,New,,281,279,BAPE x Mitchell & Ness Yankees Jersey White,9/27/19 0:00,,, B-XMNYJWH,425,250,,
818,51,streetwear,,New,,70,30,Yeezy Season 6 Classic Tee Core,,120,, YZY-SE6CTCR,216,20,,
216,88,streetwear,,New,,45,48,Virgil Abloh MCA Figures of Speech Grass Graveyard Tee Black,,,, VA-MCFOSGGBK,200,41,,
723,69,streetwear,,New,,60,61,FEAR OF GOD ESSENTIALS Photo T-shirt Black,8/16/19 0:00,45,, FOG-ESPTBK,138,46,,
95,343,streetwear,,New,,350,338,BAPE x Mitchell & Ness Dodgers Jersey Blue,9/27/19 0:00,,, BA-MNDJERBL,566,250,,
973,185,streetwear,,New,,161,170,OFF-WHITE Industrial Belt (SS19) Yellow/Black,,225,, OW-INBYWBK,350,144,,
546,127,streetwear,,New,"Jerry Lorenzo's Fear of God line has been dominating the sneaker and streetwear scene lately, with drops selling out almost instantly whenever the LA-based designer comes out with new product. His recent Fear of God Essentials drop was no different. The collection released on July 19th, 2019 and featured a wide variety of gear including tees, shorts, pants, hoodies, bags, and more. These FEAR OF GOD ESSENTIALS Sweatpants in Black released as a part of this Essentials drop, and retailed for $90. Bid today to secure yours.",265,119,FEAR OF GOD ESSENTIALS Sweatpants Black,7/19/19 0:00,90,, FOG-ESSBK,181,71,,
1136,100,streetwear,,New,,125,93,Nike Kyrie x Spongebob Dri-Fit Patrick Star Hoodie Black,8/8/19 0:00,60,, NK-KXSDFPSTHDBK,201,62,,
251,227,streetwear,,New,"Supreme's first major brand collaboration of FW19 came in Week 5 as the brand came together with former collaborator, Lacoste. The collaboration yielded a full range of apparel including hoodies, jackets, half zip pullovers, pants, hats, bags, and even a cardigan. The Logo Panel Hooded Sweatshirt dropped in five colorways and features collaborative dual branding with the Lacoste Croc logo on the chest and the word ""Lacoste"" across the chest in large block lettering and the word Supreme laid over it. The Supreme LACOSTE Logo Panel Hooded Sweatshirt released on September 26th, 2019, and retailed for $158 USD.",238,200,Supreme LACOSTE Logo Panel Hooded Sweatshirt Light Blue,9/26/19 0:00,158,, SUP-LALPHSLBL,289,200,,
617,60,streetwear,,New,"Released as a part of Supreme's Fall/ Winter 2019 Week 1 drop, the Supreme Smoke Tee was rallied around as one of the most anticipated pieces of the entire drop. The tee dropped in seven different colorways and all feature the word Supreme written out in smoke. The Supreme Smoke Tee released on August 22nd, 2019 and retailed for $38 USD.",70,57,Supreme Smoke Tee White,8/22/19 0:00,38,, SUP-SMTWH,125,45,,
